chr	max_distance	density
V	245	0.2634106966167306
VI	245	0.26270631216200707
VII	245	0.20676480833043065
VIII	245	0.18748655897256342
IX	245	0.2606049721747354
X	245	0.25383003173981666
XI	245	0.2727289087244457
XII	245	0.23105482680487527
XIII	245	0.2517710894593539
XIV	245	0.23969538448592626
XV	245	0.23172829245361687
XVI	245	0.22727742583322258
I	250	0.2807339130736954
II	250	0.2648010782307571
III	250	0.1355814907481924
IV	250	0.24547157088462745
V	250	0.26943427014078153
VI	250	0.2645385529369524
VII	250	0.21061744917227346
VIII	250	0.19145532780111013
IX	250	0.2645582511912123
X	250	0.2598213076482633
XI	250	0.2809155749112199
XII	250	0.23816312163958236
XIII	250	0.25713006162709817
XIV	250	0.24571196162854297
XV	250	0.2362733679650982
XVI	250	0.2322422700529288
I	255	0.28402644450043
II	255	0.2704012867936408
III	255	0.1395427487059369
IV	255	0.25059777418464124
V	255	0.27822660440571456
VI	255	0.268288168906689
VII	255	0.21433626047261994
VIII	255	0.19551296292675818
IX	255	0.26801594951442187
X	255	0.26457490502862213
XI	255	0.2854715543718207
XII	255	0.24215133507763567
XIII	255	0.26371897956689033
XIV	255	0.25475913929415184
XV	255	0.24113458280147093
XVI	255	0.23945379330131025
I	260	0.28627214205665935
II	260	0.27643067251692116
III	260	0.1419633434896021
IV	260	0.2559837799694895
V	260	0.2822417414550315
VI	260	0.2711531272093307
VII	260	0.21763616697526902
VIII	260	0.19872103625211723
IX	260	0.27564516422362056
X	260	0.26803718667490894
XI	260	0.29398514732699876
XII	260	0.24645767809923602
XIII	260	0.26930295500691775
XIV	260	0.2606775438493599
XV	260	0.24586017844919458
XVI	260	0.24409271084502557
I	265	0.2919797756908669
II	265	0.2835373052101369
III	265	0.14360734382779644
IV	265	0.2601086339937843
V	265	0.290917770409846
VI	265	0.27506190752921406
VII	265	0.22052541844647736
VIII	265	0.20059789244689794
IX	265	0.28639335467209837
X	265	0.2719164975977236
XI	265	0.299896823111623
XII	265	0.25254109482951315
XIII	265	0.27412862614949085
XIV	265	0.2670319876889026
XV	265	0.24851483243241262
XVI	265	0.24881601069967701
I	270	0.2966405754545691
II	270	0.28716870966472535
III	270	0.14780345897671157
IV	270	0.26518131014868146
V	270	0.29743433957678755
VI	270	0.2820170194809762
VII	270	0.22420664747832145
VIII	270	0.2053611259715308
IX	270	0.29006019714109044
X	270	0.278745854849675
XI	270	0.30674428927920144
XII	270	0.25626775566534993
XIII	270	0.2779039214392421
XIV	270	0.27045272862419406
XV	270	0.2509678903243956
XVI	270	0.2533367930080817
I	275	0.29782640801327437
II	275	0.2922007811270266
III	275	0.14866147058178825
IV	275	0.2692767895201683
V	275	0.30169597444754975
VI	275	0.2880800707726134
VII	275	0.22846444350743395
VIII	275	0.2077800665786298
IX	275	0.2975075473756956
X	275	0.28532043537320095
XI	275	0.31042746424800843
XII	275	0.2610888564679083
XIII	275	0.282633317143194
XIV	275	0.2732372601943307
XV	275	0.2549759871564963
XVI	275	0.25651167745705467
I	280	0.301436030197465
II	280	0.29902949393987094
III	280	0.15215614558640708
IV	280	0.2719981879103068
V	280	0.30748693735136357
VI	280	0.2911560143766125
VII	280	0.23101912112490147
VIII	280	0.20975645302616402
IX	280	0.30319081220674354
X	280	0.2912768470977578
XI	280	0.3158427512237259
XII	280	0.2657383713434807
XIII	280	0.28803555917099277
XIV	280	0.27607279051117317
XV	280	0.259815209692007
XVI	280	0.2611906765984647
I	285	0.30759106585931595
II	285	0.30391030812214703
III	285	0.15393792881008822
IV	285	0.2758802114713894
V	285	0.31288732272119707
VI	285	0.29639363194539553
VII	285	0.23621464058518343
VIII	285	0.21328977699891405
IX	285	0.3102585203506347
X	285	0.29546054916453346
XI	285	0.3221953282464728
XII	285	0.27257491116950183
XIII	285	0.2932528225470587
XIV	285	0.2818573233562785
XV	285	0.26370418156110514
XVI	285	0.266268382159048
I	290	0.31008869853790755
II	290	0.30992616677160395
III	290	0.15755472955411579
IV	290	0.280391505372624
V	290	0.320400298574826
VI	290	0.29639363194539553
VII	290	0.23911855830751463
VIII	290	0.2173651853839824
IX	290	0.3148255919688648
X	290	0.30009078097112846
XI	290	0.32911327862558787
XII	290	0.27604187438611655
XIII	290	0.2985512169107267
XIV	290	0.285888774283372
XV	290	0.26845360220142933
XVI	290	0.2711256389323106
I	295	0.3126384557245741
II	295	0.31784811309617506
III	295	0.16120284459029946
IV	295	0.28613196530135454
V	295	0.325982953460517
VI	295	0.3007280843645086
VII	295	0.24340752012026326
VIII	295	0.21893100953890834
IX	295	0.3208180264067217
X	295	0.307551716323545
XI	295	0.3339496952682599
XII	295	0.2814741920853441
XIII	295	0.30205174858913214
XIV	295	0.2888849506523377
XV	295	0.2730243353972497
XVI	295	0.27699970255235395
I	300	0.313941568426448
II	300	0.3233327266645679
III	300	0.16307230783201762
IV	300	0.2921681300683516
V	300	0.33165934695436317
VI	300	0.3040594312280455
VII	300	0.2483243808092104
VIII	300	0.22211775495296307
IX	300	0.3289519150329175
X	300	0.3131500996981566
XI	300	0.33887459209137155
XII	300	0.28756131878161006
XIII	300	0.30462738700887354
XIV	300	0.29381652945878856
XV	300	0.27712864854562164
XVI	300	0.28077264663008694
I	305	0.3192104874510247
II	305	0.33005076341885725
III	305	0.16592503984743676
IV	305	0.2961167361757988
V	305	0.3363809953651466
VI	305	0.3062988366196453
VII	305	0.2538764734999175
VIII	305	0.22319659179977358
