chr	max_distance	density
VI	85	0.9212876766076524
VII	85	0.9441756650228244
VIII	85	0.9513243744257015
IX	85	0.925997071981959
X	85	0.9369803057588927
XI	85	0.9275857207985412
XII	85	0.9382040240146099
XIII	85	0.9336251164229672
XIV	85	0.9393918144461599
XV	85	0.9366969946604526
XVI	85	0.938051781205106
I	90	0.9216872703263863
II	90	0.9268382063592003
III	90	0.9624385065587785
IV	90	0.9331674427014759
V	90	0.9216327876820525
VI	90	0.9141215793545331
VII	90	0.939308302931417
VIII	90	0.9453561139123743
IX	90	0.9187906921761902
X	90	0.9304861810443432
XI	90	0.9208417314521548
XII	90	0.933151050337746
XIII	90	0.927628995565921
XIV	90	0.9336531804730899
XV	90	0.9300058371231871
XVI	90	0.932187210595043
I	95	0.9144549948309862
II	95	0.9221455414764678
III	95	0.9589281744080816
IV	95	0.9284191932675907
V	95	0.9145416355651222
VI	95	0.9082917223433434
VII	95	0.9347269327369058
VIII	95	0.942395088892957
IX	95	0.9132870185138036
X	95	0.9247630911658181
XI	95	0.9145641376331701
XII	95	0.9281481612017322
XIII	95	0.9225891386160784
XIV	95	0.9283072368496544
XV	95	0.9249796800303494
XVI	95	0.9279638759326883
I	100	0.9097637891042404
II	100	0.9162465075554856
III	100	0.9558687680644323
IV	100	0.9228745643575796
V	100	0.9080910306039197
VI	100	0.902484074311244
VII	100	0.929618494142666
VIII	100	0.9385862793991927
IX	100	0.9072627577928928
X	100	0.9195254180014509
XI	100	0.9088249232171993
XII	100	0.9236043803568431
XIII	100	0.9169683837950047
XIV	100	0.9233195594218272
XV	100	0.9186000800886289
XVI	100	0.9220887575337582
I	105	0.9017235837336786
II	105	0.9104360144813474
III	105	0.9523239901923637
IV	105	0.9161014221901349
V	105	0.9021681392886282
VI	105	0.8948737974763197
VII	105	0.9250820393422187
VIII	105	0.9332791841362996
IX	105	0.9028320845306078
X	105	0.9146806373709188
XI	105	0.9031037047701315
XII	105	0.9187369049794236
XIII	105	0.9098321021255237
XIV	105	0.9192460345287015
XV	105	0.9121838263121386
XVI	105	0.9167610693770265
I	110	0.8993736371612993
II	110	0.904474264127184
III	110	0.94926771527793
IV	110	0.9108139846847088
V	110	0.8972902598642526
VI	110	0.8872820281239705
VII	110	0.9203494234330027
VIII	110	0.9292517635516659
IX	110	0.896482741061361
X	110	0.9099055851081661
XI	110	0.8985747192628851
XII	110	0.9131357838277018
XIII	110	0.904456903760259
XIV	110	0.914427927933671
XV	110	0.9065583790208112
XVI	110	0.9122297392797548
I	115	0.8939657194485227
II	115	0.8967011156146703
III	115	0.9453784801921445
IV	115	0.904702751360536
V	115	0.8914072942524346
VI	115	0.8826810679557745
VII	115	0.9164335343831925
VIII	115	0.9234221344618169
IX	115	0.8908335758192995
X	115	0.9058170890820126
XI	115	0.8921621556771283
XII	115	0.9077878678547214
XIII	115	0.897733849254298
XIV	115	0.9073799011389295
XV	115	0.900249337711023
XVI	115	0.9071066782270433
I	120	0.887780277823628
II	120	0.8913148807649929
III	120	0.9409381135644119
IV	120	0.8989309584688103
